user_id,username,email,password,gender,personalization1,personalizatoin2,personalization3,personalization4,personalization5,personalization6
30,mdinjest,rwhittleseyt@diigo.com,"vB7""3O}Eh2X,k=c|",M,Outdoor,24HoursCafe,MeetingCafe,CountryFood,Smoking,Coffee
31,amachansu,aimlocku@amazon.de,jF2`>/Gj0,F,Indoor,IndustrialCafe,StudyCafe,GardenCafe,NonSmoking,Coffee
32,mdressellv,cbonomev@bing.com,tG4.WJ+K|l+Xvj',F,Outdoor,24HoursCafe,BooksCafe,GoodViews,Smoking,NonCoffee
33,hgoodhayw,zfraylingw@myspace.com,cA7@z1#m#ZZX/}$r,F,Outdoor,RetroVintage,BooksCafe,GardenCafe,NonSmoking,Coffee
34,vgulliventx,leaglestonex@dell.com,"uL0,A>WK=ih02o",M,Outdoor,MinimalisCafe,MeetingCafe,GoodViews,NonSmoking,Coffee
35,jranvoisey,tkirwoody@ehow.com,"oP0%RJCzC|_""D9'u",M,Indoor,IndustrialCafe,StudyCafe,GardenCafe,Smoking,Coffee
36,aquestez,kabellaz@yale.edu,xO6_HC@po'?h,F,Indoor,MinimalisCafe,BooksCafe,FamilyCafe,NonSmoking,NonCoffee
37,rfrancescone10,npaskell10@bloglines.com,uB5*qq(S%Yn1vS{,M,Indoor,MinimalisCafe,StudyCafe,GardenCafe,Smoking,NonCoffee
38,tkubera11,yjaniak11@cbslocal.com,"iN1""U@aC|=4",F,Outdoor,IndustrialCafe,MeetingCafe,FamilyCafe,Smoking,NonCoffee
39,rdantesia12,ahammerman12@chicagotribune.com,rO3#PU$24xY7g!\d,F,Indoor,MinimalisCafe,StudyCafe,FamilyCafe,NonSmoking,NonCoffee
40,hfarry13,ksaphir13@webs.com,mA2<v1I$o&I(8,M,Indoor,RetroVintage,StudyCafe,GardenCafe,NonSmoking,Coffee
41,jcudbertson14,bnewall14@digg.com,"zO2/qDN(w{H""",F,Indoor,24HoursCafe,StudyCafe,FamilyCafe,Smoking,NonCoffee
42,efellis15,sferrarini15@theguardian.com,uZ3/k_G/,F,Outdoor,RetroVintage,MeetingCafe,FamilyCafe,Smoking,Coffee
43,tgallone16,ojuarez16@amazon.co.uk,pT4@C96f2b_'%<{i,F,Indoor,IndustrialCafe,StudyCafe,CountryFood,NonSmoking,NonCoffee
44,vhartill17,atuddenham17@e-recht24.de,"sT8""an""H>",F,Outdoor,24HoursCafe,MeetingCafe,FamilyCafe,Smoking,NonCoffee
45,hgreir18,writter18@senate.gov,qF1_}|WQT)!5z1,F,Indoor,24HoursCafe,MeetingCafe,GoodViews,Smoking,Coffee
46,dchillcot19,lanmore19@microsoft.com,"vI4,dGjbj=+",F,Outdoor,IndustrialCafe,BooksCafe,GardenCafe,Smoking,NonCoffee
47,ngridley1a,akayne1a@list-manage.com,fR5\J8pW7pq,F,Indoor,24HoursCafe,BooksCafe,GoodViews,NonSmoking,Coffee
48,bbwye1b,lwarret1b@usgs.gov,nE9\Em&.Ly,F,Outdoor,RetroVintage,StudyCafe,CountryFood,Smoking,Coffee
49,mdesport1c,ifilipiak1c@nba.com,"iH9.<,t4R",M,Indoor,RetroVintage,MeetingCafe,CountryFood,Smoking,Coffee
50,abates1d,kvernham1d@home.pl,sE0*\@_w(#sr9TJ,M,Indoor,24HoursCafe,MeetingCafe,GardenCafe,Smoking,Coffee
51,rcuphus1e,dsaer1e@home.pl,"rP5""ycX(`j",F,Outdoor,MinimalisCafe,BooksCafe,GoodViews,Smoking,Coffee
52,lshackell1f,sleaton1f@netlog.com,wK2&BCiCJ!fBNDBj,F,Outdoor,RetroVintage,StudyCafe,GoodViews,Smoking,NonCoffee
53,amacilurick1g,bdudmesh1g@dagondesign.com,tW6/ZG(*jjBL4,F,Indoor,RetroVintage,StudyCafe,GoodViews,NonSmoking,Coffee
54,btanguy1h,jgarrow1h@ca.gov,dD5<v5%{Wc~jD1*,M,Outdoor,IndustrialCafe,BooksCafe,FamilyCafe,Smoking,Coffee
55,pbroadbent1i,lferres1i@walmart.com,iX0+q7.?J8T9,M,Outdoor,MinimalisCafe,BooksCafe,GardenCafe,Smoking,NonCoffee
56,apotteridge1j,rguiso1j@ebay.co.uk,"hY9$4C!4d.,&",F,Indoor,24HoursCafe,BooksCafe,FamilyCafe,Smoking,NonCoffee
57,mcrass1k,mgooding1k@netscape.com,sM5%d4gv=g8mS,M,Indoor,RetroVintage,StudyCafe,GardenCafe,Smoking,Coffee
58,kabrams1l,smcgilvra1l@nsw.gov.au,"lB4)ez,>q!=rkak@",F,Outdoor,RetroVintage,MeetingCafe,GoodViews,Smoking,Coffee
59,lbeedon1m,tdaw1m@economist.com,nI1`nqsa`l0SX\,M,Indoor,IndustrialCafe,BooksCafe,GoodViews,NonSmoking,NonCoffee
60,bglazzard1n,ahiscoe1n@gnu.org,kY0&0<smV*D!Pag<,M,Indoor,IndustrialCafe,MeetingCafe,GoodViews,Smoking,Coffee
61,apeacop1o,tosullivan1o@a8.net,lZ3$6l{BV@#yyJ8G,F,Indoor,MinimalisCafe,BooksCafe,CountryFood,NonSmoking,NonCoffee
62,atoupe1p,bdureden1p@aol.com,wU8@B<.X'W&,M,Indoor,IndustrialCafe,MeetingCafe,FamilyCafe,Smoking,Coffee
63,ddalby1q,mlindl1q@gizmodo.com,zB3'FQLtC9flM,F,Outdoor,IndustrialCafe,MeetingCafe,GoodViews,Smoking,NonCoffee
64,iswidenbank1r,tconnop1r@upenn.edu,mF4>RsLAP,F,Outdoor,MinimalisCafe,BooksCafe,GardenCafe,NonSmoking,Coffee
65,raymerich1s,clawey1s@oracle.com,zQ0}e!AVgAQEqqe,M,Indoor,MinimalisCafe,MeetingCafe,FamilyCafe,Smoking,Coffee
66,abuscombe1t,djedras1t@mit.edu,rT1?QQLJLb1YYY$y,F,Outdoor,MinimalisCafe,StudyCafe,GoodViews,NonSmoking,Coffee
67,mcoysh1u,aivashkov1u@livejournal.com,rJ7)JV2cEw,F,Outdoor,IndustrialCafe,MeetingCafe,GoodViews,NonSmoking,Coffee
68,ebraime1v,awhitwham1v@samsung.com,"lQ7_I`Iq`uJ,03pu",M,Indoor,24HoursCafe,StudyCafe,FamilyCafe,Smoking,NonCoffee
69,cjatczak1w,tcoleyshaw1w@japanpost.jp,oG0!Hg=XsuNB,F,Indoor,RetroVintage,MeetingCafe,GardenCafe,Smoking,NonCoffee
70,mcattroll1x,itarbatt1x@unblog.fr,qP6({iI)v,M,Outdoor,IndustrialCafe,MeetingCafe,GardenCafe,NonSmoking,NonCoffee
71,hgrcic1y,tarboine1y@angelfire.com,zR6%T'lk0twG4<s5,M,Indoor,RetroVintage,StudyCafe,GardenCafe,Smoking,Coffee
72,adono1z,jpurbrick1z@jiathis.com,lM7)40O6U1$cM,F,Indoor,IndustrialCafe,BooksCafe,GardenCafe,NonSmoking,Coffee
73,mhoodlass20,wfossick20@google.com.hk,pW9{.WlVGCRy,F,Outdoor,24HoursCafe,MeetingCafe,GoodViews,NonSmoking,Coffee
74,ggoulstone21,lfenix21@europa.eu,"aN8{wp)?d""q",M,Outdoor,IndustrialCafe,StudyCafe,FamilyCafe,NonSmoking,NonCoffee
75,lsiret22,kgallichan22@samsung.com,mF6#+E5!,F,Outdoor,24HoursCafe,StudyCafe,GardenCafe,NonSmoking,NonCoffee
76,rgethyn23,goshaughnessy23@symantec.com,eB6%~7#wMPk,F,Outdoor,24HoursCafe,StudyCafe,GoodViews,NonSmoking,NonCoffee
77,cwalhedd24,lwallentin24@over-blog.com,nP8/_HR$*0Qh,F,Outdoor,IndustrialCafe,BooksCafe,GardenCafe,Smoking,Coffee
78,aonoulane25,kmcewen25@phoca.cz,mF2}v(+Lf/sCkf<,F,Outdoor,IndustrialCafe,MeetingCafe,CountryFood,Smoking,NonCoffee
79,fmullett26,rnowaczyk26@1und1.de,"oY8@Eli,7",F,Outdoor,24HoursCafe,BooksCafe,GoodViews,NonSmoking,Coffee
80,ajayne27,equadri27@cocolog-nifty.com,sK8$N\eRG,F,Indoor,IndustrialCafe,BooksCafe,FamilyCafe,Smoking,Coffee
81,tabel28,bstickles28@over-blog.com,"yZ4>yC2/+(8""",F,Indoor,24HoursCafe,BooksCafe,CountryFood,Smoking,Coffee
82,bmatzen29,wdannel29@youtube.com,rA6!9/}/},F,Outdoor,24HoursCafe,StudyCafe,GoodViews,Smoking,NonCoffee
83,eredmond2a,cmcgall2a@wikispaces.com,xN4?=~DZ/BoYs$%,F,Indoor,24HoursCafe,MeetingCafe,CountryFood,NonSmoking,NonCoffee
84,lgipson2b,dstoade2b@ebay.com,gZ1\3\PW,F,Indoor,24HoursCafe,MeetingCafe,GoodViews,Smoking,NonCoffee
85,adarrell2c,rpauel2c@reference.com,"zD1""za=u",M,Outdoor,RetroVintage,MeetingCafe,GoodViews,NonSmoking,NonCoffee
86,kbulloch2d,mgregg2d@ted.com,nY4/'/9!j,M,Indoor,MinimalisCafe,MeetingCafe,FamilyCafe,NonSmoking,Coffee
87,dtwentyman2e,kerickson2e@sbwire.com,"fR7""%#z3!}+<4),?",F,Outdoor,RetroVintage,BooksCafe,GardenCafe,Smoking,NonCoffee
88,fbawden2f,rkulver2f@bloomberg.com,gD5%tDa5x,M,Outdoor,MinimalisCafe,MeetingCafe,GardenCafe,NonSmoking,NonCoffee
89,obeall2g,lroadnight2g@biglobe.ne.jp,"hJ6.<,(\c~(|4+T5",F,Outdoor,MinimalisCafe,MeetingCafe,GardenCafe,NonSmoking,NonCoffee
90,wlippini2h,apescott2h@t-online.de,"lJ9,?UER3",M,Indoor,IndustrialCafe,BooksCafe,FamilyCafe,Smoking,Coffee
91,mmcbain2i,hivanyushkin2i@newyorker.com,wG0$W|We,M,Indoor,RetroVintage,StudyCafe,GardenCafe,NonSmoking,Coffee
92,maulton2j,crawkesby2j@soup.io,hW5*2{IB&b(F,F,Indoor,MinimalisCafe,StudyCafe,GoodViews,Smoking,NonCoffee
93,zkenealy2k,bmidson2k@ft.com,zO7?z+YWT,F,Outdoor,IndustrialCafe,BooksCafe,GoodViews,NonSmoking,Coffee
94,mdax2l,cpeirpoint2l@ycombinator.com,"wT8)?NT*e,q%",M,Indoor,IndustrialCafe,MeetingCafe,CountryFood,NonSmoking,NonCoffee
95,cmcintosh2m,mpuleston2m@cam.ac.uk,tS2|pBc8.2Kx#,M,Outdoor,IndustrialCafe,MeetingCafe,CountryFood,NonSmoking,Coffee
96,tswanger2n,mtawse2n@timesonline.co.uk,kY0=7E3zB~m!la@+,F,Outdoor,MinimalisCafe,BooksCafe,GardenCafe,Smoking,Coffee
97,efencott2o,lrhelton2o@usda.gov,uH6/9s}qi4x$,F,Indoor,MinimalisCafe,BooksCafe,GoodViews,NonSmoking,NonCoffee
98,tmeriot2p,criddock2p@dedecms.com,jE0#}A}r&,M,Outdoor,IndustrialCafe,BooksCafe,GardenCafe,Smoking,NonCoffee
99,zpinnigar2q,fballendine2q@columbia.edu,"lM5,\&*qGDdhFk$R",F,Indoor,RetroVintage,BooksCafe,CountryFood,NonSmoking,Coffee
100,whannon2r,ypadberry2r@theglobeandmail.com,cO0.e\bODj,M,Indoor,24HoursCafe,MeetingCafe,GoodViews,NonSmoking,Coffee
101,aellesmere2s,bhaggar2s@go.com,qF6(L#LN01R_,M,Outdoor,RetroVintage,MeetingCafe,GoodViews,Smoking,NonCoffee
102,dedson2t,sloding2t@cnn.com,kN8{umwpRED,M,Outdoor,24HoursCafe,MeetingCafe,FamilyCafe,NonSmoking,NonCoffee
103,ftraill2u,kheinonen2u@feedburner.com,jE7!'f@N>n,M,Indoor,RetroVintage,StudyCafe,GardenCafe,Smoking,Coffee
104,chamflett2v,mhynam2v@dot.gov,fX1(w04\'k7&,M,Outdoor,24HoursCafe,MeetingCafe,CountryFood,Smoking,NonCoffee
105,rinnes2w,dgodbehere2w@bandcamp.com,qU2`ycp+c+L|J,F,Outdoor,MinimalisCafe,StudyCafe,FamilyCafe,NonSmoking,Coffee
106,tstobbs2x,dmagarrell2x@clickbank.net,fQ3=JIa97QtP01b,M,Indoor,RetroVintage,MeetingCafe,GoodViews,NonSmoking,Coffee
107,cchilds2y,nbuzza2y@gnu.org,jX0=HcSJygq<,M,Indoor,RetroVintage,StudyCafe,GoodViews,Smoking,NonCoffee
108,bllorente2z,mfigge2z@scientificamerican.com,zE1{Re&'),M,Outdoor,MinimalisCafe,MeetingCafe,FamilyCafe,NonSmoking,NonCoffee
109,ycumberledge30,prasch30@craigslist.org,eO8)VYrc~asMB>S,M,Indoor,IndustrialCafe,StudyCafe,FamilyCafe,NonSmoking,Coffee
110,jyearron31,bhulles31@wikia.com,mX6=2$ZeD}+.w,M,Outdoor,IndustrialCafe,MeetingCafe,CountryFood,Smoking,Coffee
111,tsarfass32,bbretherton32@redcross.org,uS3>.G2%M#`_e,F,Outdoor,24HoursCafe,StudyCafe,CountryFood,Smoking,NonCoffee
112,osomner33,sfromant33@bbc.co.uk,bM0\h4MydW9_|U,M,Indoor,RetroVintage,StudyCafe,GardenCafe,Smoking,Coffee
113,bplaide34,oclunie34@mapy.cz,rT0(N5(rmSNQ%E,F,Outdoor,RetroVintage,StudyCafe,FamilyCafe,Smoking,Coffee
114,scraigmile35,cchessman35@e-recht24.de,"mF1=6`""0pok",M,Outdoor,MinimalisCafe,MeetingCafe,GardenCafe,Smoking,Coffee
115,rcawthorne36,nrottenbury36@cyberchimps.com,xW6?%1t9O9(,F,Outdoor,24HoursCafe,BooksCafe,GoodViews,NonSmoking,NonCoffee
116,dfairs37,nduddell37@discovery.com,wG8&>Ul#Unx~,F,Outdoor,RetroVintage,StudyCafe,CountryFood,Smoking,NonCoffee
117,crobjant38,iberlin38@discovery.com,tI3$V(LPj#u(,M,Outdoor,24HoursCafe,StudyCafe,GardenCafe,NonSmoking,Coffee
118,rcattermole39,tkent39@lycos.com,bD6)lqY)WY<,F,Outdoor,RetroVintage,MeetingCafe,GardenCafe,NonSmoking,NonCoffee
119,mpurches3a,bmccooke3a@harvard.edu,lX7%sLE|IH}j,M,Outdoor,MinimalisCafe,MeetingCafe,GoodViews,NonSmoking,Coffee
120,ccoulthard3b,tswinford3b@google.com.hk,"uM2&=$|<""bY#D",F,Indoor,RetroVintage,MeetingCafe,FamilyCafe,NonSmoking,NonCoffee
121,llesser3c,lgeorgeou3c@wix.com,pU1`!F}hGw3.,F,Outdoor,IndustrialCafe,MeetingCafe,CountryFood,NonSmoking,NonCoffee
122,vtoupe3d,pkintish3d@instagram.com,"mX9+po""3g~",M,Outdoor,24HoursCafe,BooksCafe,GoodViews,Smoking,Coffee
123,fmalenfant3e,ringleton3e@123-reg.co.uk,sA0`Tz(b4T3mGG#,M,Indoor,IndustrialCafe,MeetingCafe,GoodViews,Smoking,NonCoffee
124,mballam3f,beallis3f@dailymotion.com,rU7}xNxy}Qrw@,F,Indoor,MinimalisCafe,MeetingCafe,GoodViews,Smoking,Coffee
125,kdanieli3g,gclaire3g@cpanel.net,"oD7,(h}&?0t@a8dl",F,Outdoor,24HoursCafe,MeetingCafe,CountryFood,Smoking,NonCoffee
126,iscawton3h,louver3h@webmd.com,rV9~#ML}O,F,Outdoor,IndustrialCafe,StudyCafe,GardenCafe,NonSmoking,Coffee
127,mtramel3i,ogooday3i@altervista.org,"kR8&<K#AGHBf,0T",F,Indoor,IndustrialCafe,StudyCafe,CountryFood,Smoking,Coffee
128,hboise3j,rorman3j@upenn.edu,tE0{a$~E@iqB,M,Outdoor,MinimalisCafe,StudyCafe,FamilyCafe,Smoking,Coffee
129,cwathall3k,brich3k@techcrunch.com,dC8)xpO&&Y=z>,M,Indoor,RetroVintage,StudyCafe,GardenCafe,Smoking,Coffee
130,btaggerty3l,spolino3l@europa.eu,"vI1,nkH@+P8@*yk",M,Indoor,RetroVintage,StudyCafe,FamilyCafe,NonSmoking,Coffee
131,ktour3m,gwaleworke3m@qq.com,"bO3&~w_%D""gNW\D",M,Indoor,IndustrialCafe,MeetingCafe,CountryFood,Smoking,Coffee
132,cdoerffer3n,fhadlington3n@bluehost.com,cZ1\4qmx}N<p,M,Outdoor,MinimalisCafe,StudyCafe,CountryFood,Smoking,Coffee
133,kcorter3o,hfrizzell3o@washington.edu,dW4+KR=luJ,M,Outdoor,24HoursCafe,StudyCafe,CountryFood,Smoking,NonCoffee
134,lmclardie3p,elehrmann3p@prnewswire.com,nM6@q.vR*,M,Outdoor,IndustrialCafe,MeetingCafe,GardenCafe,Smoking,NonCoffee
135,tmarieton3q,baiskrigg3q@youtube.com,"jO7,P{o7",F,Indoor,24HoursCafe,MeetingCafe,GardenCafe,NonSmoking,NonCoffee
136,rtuft3r,akeaves3r@nhs.uk,iX1'z/9X%_q,F,Outdoor,24HoursCafe,MeetingCafe,GardenCafe,NonSmoking,NonCoffee
137,smartina3s,lqueree3s@shareasale.com,wQ4}VtiJRA9w,F,Indoor,24HoursCafe,BooksCafe,CountryFood,NonSmoking,NonCoffee
138,lgillard3t,smcgorley3t@taobao.com,aI4={H=sO|zp?7,M,Outdoor,IndustrialCafe,BooksCafe,GoodViews,Smoking,NonCoffee
139,pconaboy3u,avallentin3u@usatoday.com,xR8+!CB>,M,Outdoor,MinimalisCafe,MeetingCafe,CountryFood,Smoking,NonCoffee
140,bdumphy3v,tsilliman3v@desdev.cn,"vX3,r_<yRTEJ{F",F,Outdoor,24HoursCafe,MeetingCafe,GardenCafe,NonSmoking,Coffee
141,dcoughlan3w,ddenes3w@hud.gov,bY4%vu2/w?BEQ,F,Indoor,24HoursCafe,BooksCafe,GoodViews,NonSmoking,Coffee
142,eyeats3x,abutten3x@psu.edu,eP8@y<.*|&s,M,Outdoor,RetroVintage,MeetingCafe,FamilyCafe,Smoking,Coffee
143,hbennis3y,msanpere3y@alibaba.com,gM9)0>i18+,M,Indoor,RetroVintage,BooksCafe,CountryFood,Smoking,Coffee
144,atethcote3z,rmelledy3z@indiatimes.com,"fY6)l<(Q9kM&4,",F,Outdoor,MinimalisCafe,BooksCafe,GardenCafe,NonSmoking,NonCoffee
145,gbullard40,mschwier40@vk.com,vA1*}?.(RgHsoCu,M,Indoor,RetroVintage,BooksCafe,GoodViews,Smoking,NonCoffee
146,afrensche41,qpentercost41@t.co,qD7%4Xea5%l,M,Outdoor,RetroVintage,BooksCafe,CountryFood,Smoking,NonCoffee
147,lbuttrey42,drontree42@odnoklassniki.ru,vB6)Kh<NLet3i{,M,Outdoor,RetroVintage,MeetingCafe,GoodViews,NonSmoking,NonCoffee
148,isearjeant43,skorejs43@artisteer.com,fO9+FwB9td%D%O,F,Outdoor,24HoursCafe,StudyCafe,GoodViews,NonSmoking,NonCoffee
149,ehurry44,nmichelle44@reuters.com,"uL8""zOr1R't&|",M,Indoor,24HoursCafe,StudyCafe,GardenCafe,NonSmoking,Coffee
150,hrubinshtein45,fdalzell45@vinaora.com,zY0/z6V$,F,Indoor,24HoursCafe,MeetingCafe,GardenCafe,Smoking,NonCoffee
151,pfellman46,twansbury46@rakuten.co.jp,"jM5!<C*k""14|u)c",M,Indoor,24HoursCafe,BooksCafe,GardenCafe,NonSmoking,NonCoffee
152,missacson47,schopin47@upenn.edu,vV0!5XbE>,M,Outdoor,IndustrialCafe,StudyCafe,CountryFood,NonSmoking,NonCoffee
153,lmatelaitis48,rdessaur48@salon.com,eQ4=+?c`7,M,Outdoor,IndustrialCafe,StudyCafe,CountryFood,Smoking,Coffee
154,cpetrov49,dgredden49@economist.com,iU5}_h5`I,M,Outdoor,24HoursCafe,MeetingCafe,FamilyCafe,NonSmoking,Coffee
155,lbradshaw4a,mwalcar4a@sina.com.cn,yI6/@I{@iW,M,Indoor,MinimalisCafe,BooksCafe,GardenCafe,Smoking,NonCoffee
156,mkemery4b,nsaunders4b@bizjournals.com,rE3_$'9b`n~5U.,F,Indoor,MinimalisCafe,StudyCafe,CountryFood,Smoking,Coffee
157,alabro4c,fknill4c@lulu.com,"eD6,\\|\{",F,Outdoor,IndustrialCafe,MeetingCafe,CountryFood,NonSmoking,Coffee
158,gpedgrift4d,bweitzel4d@ezinearticles.com,iA7$0NFt/,M,Indoor,MinimalisCafe,BooksCafe,CountryFood,Smoking,Coffee
159,mtonbridge4e,mcarlyon4e@dyndns.org,xV3/w6uOI+nIfFg,M,Outdoor,MinimalisCafe,BooksCafe,GardenCafe,NonSmoking,Coffee
160,ccrease4f,strenfield4f@alexa.com,"pP5&V@1LsdD,~3",F,Indoor,RetroVintage,MeetingCafe,GoodViews,Smoking,Coffee
161,dtomala4g,abinder4g@cnet.com,gH3>g$1}`Wms,F,Outdoor,IndustrialCafe,StudyCafe,FamilyCafe,Smoking,NonCoffee
162,mtillot4h,lgoaks4h@cargocollective.com,wB3{Z37aGgdF,M,Indoor,MinimalisCafe,BooksCafe,GardenCafe,Smoking,Coffee
163,apatesel4i,fcalladine4i@bbb.org,uG8@Qf1lWh,M,Outdoor,MinimalisCafe,StudyCafe,GardenCafe,Smoking,Coffee
164,hpaulley4j,clampkin4j@disqus.com,dG2!1U?b,M,Indoor,24HoursCafe,StudyCafe,GoodViews,Smoking,NonCoffee
165,lcamies4k,jalbinson4k@globo.com,uF2`'_p45`Z,M,Indoor,MinimalisCafe,MeetingCafe,FamilyCafe,Smoking,NonCoffee
166,cnaulls4l,fhacquard4l@nydailynews.com,oK8_GRl5GhNIJR,M,Outdoor,24HoursCafe,MeetingCafe,CountryFood,NonSmoking,NonCoffee
167,bhayer4m,dhelsby4m@uol.com.br,"dI4""_XT)Dw",F,Outdoor,RetroVintage,StudyCafe,GoodViews,NonSmoking,NonCoffee
168,eflipek4n,cceeley4n@scribd.com,"aN5,kO5\jg#J",F,Outdoor,IndustrialCafe,BooksCafe,GoodViews,NonSmoking,Coffee
169,jdenormanville4o,glamburne4o@facebook.com,"gC3,oHR}>1`4y",M,Indoor,MinimalisCafe,MeetingCafe,GoodViews,NonSmoking,Coffee
170,lprydie4p,cdowbiggin4p@simplemachines.org,aW3!FNneFhWUcl,M,Indoor,IndustrialCafe,MeetingCafe,GoodViews,Smoking,NonCoffee
171,tkornes4q,cklewer4q@artisteer.com,"cW8+e<Xtbxz#$,DZ",M,Indoor,24HoursCafe,MeetingCafe,GardenCafe,NonSmoking,Coffee
172,borans4r,tbonhome4r@go.com,qA4'mPcCV9HHt8\|,M,Indoor,RetroVintage,StudyCafe,GoodViews,NonSmoking,Coffee
173,cmuckersie4s,rmosedale4s@ebay.com,aO3?}rSH,F,Indoor,24HoursCafe,MeetingCafe,GardenCafe,NonSmoking,NonCoffee
174,lantonnikov4t,rmillen4t@wunderground.com,wQ3.q'8g|GJ8i+,F,Outdoor,RetroVintage,MeetingCafe,GoodViews,NonSmoking,NonCoffee
175,rtees4u,bgreer4u@wisc.edu,"lR7#l>O',s",M,Indoor,IndustrialCafe,MeetingCafe,FamilyCafe,NonSmoking,NonCoffee
176,dshapter4v,ajerome4v@networksolutions.com,bN5/p_e.JU_BI,M,Indoor,24HoursCafe,BooksCafe,GardenCafe,NonSmoking,NonCoffee
177,baddington4w,ogavaran4w@histats.com,"gO1""C0VS~.A/@2'g",F,Outdoor,24HoursCafe,StudyCafe,CountryFood,NonSmoking,NonCoffee
